,name,geom,key,value
357,,POINT (-49.2607927 -25.4354038),amenity,bus_station
358,,POINT (-49.2608649 -25.4354143),amenity,bus_station
359,,POINT (-49.2608934 -25.4354251),amenity,bus_station
360,,POINT (-49.26089 -25.4354324),amenity,bus_station
361,,POINT (-49.2608869 -25.4354393),amenity,bus_station
362,,POINT (-49.2599678 -25.4373955),amenity,bus_station
363,,POINT (-49.2598959 -25.4359297),amenity,bus_station
364,,POINT (-49.2599981 -25.4359966),amenity,bus_station
365,,POINT (-49.2607964 -25.4353957),amenity,bus_station
366,,POINT (-49.2609101 -25.4353877),amenity,bus_station
367,,POINT (-49.2647596 -25.4269928),amenity,bus_station
368,,POINT (-49.2647195 -25.4274106),amenity,bus_station
369,,POINT (-49.2647406 -25.4274188),amenity,bus_station
370,,POINT (-49.2647816 -25.4273324),amenity,bus_station
371,,POINT (-49.2647606 -25.4273242),amenity,bus_station
372,,POINT (-49.2647845 -25.4272925),amenity,bus_station
373,,POINT (-49.2648056 -25.4273007),amenity,bus_station
374,,POINT (-49.2648467 -25.4272143),amenity,bus_station
375,,POINT (-49.2648256 -25.4272061),amenity,bus_station
376,,POINT (-49.2645167 -25.4270503),amenity,bus_station
377,,POINT (-49.2645225 -25.4270704),amenity,bus_station
378,,POINT (-49.2646232 -25.4270467),amenity,bus_station
379,,POINT (-49.2646175 -25.4270266),amenity,bus_station
380,,POINT (-49.2646589 -25.4270165),amenity,bus_station
381,,POINT (-49.2646647 -25.4270366),amenity,bus_station
382,,POINT (-49.2647654 -25.4270129),amenity,bus_station
383,,POINT (-49.2635411 -25.428996),amenity,bus_station
384,,POINT (-49.2635312 -25.4290148),amenity,bus_station
385,,POINT (-49.2636251 -25.4290553),amenity,bus_station
386,,POINT (-49.2636351 -25.4290366),amenity,bus_station
387,,POINT (-49.2674833 -25.4300693),amenity,bus_station
388,,POINT (-49.2674384 -25.4300537),amenity,bus_station
389,,POINT (-49.2675245 -25.4298515),amenity,bus_station
390,,POINT (-49.2675693 -25.4298671),amenity,bus_station
391,,POINT (-49.2676096 -25.4301176),amenity,bus_station
392,,POINT (-49.2675646 -25.430102),amenity,bus_station
393,,POINT (-49.2676502 -25.4299006),amenity,bus_station
394,,POINT (-49.2676952 -25.4299162),amenity,bus_station
395,,POINT (-49.2683563 -25.4238174),amenity,bus_station
396,,POINT (-49.2683702 -25.4238037),amenity,bus_station
397,,POINT (-49.2685759 -25.4239745),amenity,bus_station
398,,POINT (-49.268562 -25.4239882),amenity,bus_station
399,,POINT (-49.2682678 -25.4239118),amenity,bus_station
400,,POINT (-49.2682817 -25.4238981),amenity,bus_station
401,,POINT (-49.2684874 -25.424069),amenity,bus_station
402,,POINT (-49.2684735 -25.4240827),amenity,bus_station
403,,POINT (-49.2536162 -25.4362023),amenity,bus_station
404,,POINT (-49.2552528 -25.4358782),amenity,bus_station
405,,POINT (-49.254781 -25.4364427),amenity,bus_station
406,,POINT (-49.2552176 -25.4373861),amenity,bus_station
407,,POINT (-49.2542223 -25.436141),amenity,bus_station
408,,POINT (-49.2539635 -25.4359673),amenity,bus_station
409,,POINT (-49.2538208 -25.4360715),amenity,bus_station
410,,POINT (-49.2548032 -25.4364162),amenity,bus_station
411,,POINT (-49.2551522 -25.4359986),amenity,bus_station
412,,POINT (-49.2543107 -25.4366319),amenity,bus_station
413,,POINT (-49.2544247 -25.4366779),amenity,bus_station
414,,POINT (-49.2541873 -25.4366186),amenity,bus_station
415,,POINT (-49.2545843 -25.4368245),amenity,bus_station
